antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Discount_group=11-20', 'Subscription_group=37m+'})","frozenset({'Churned=1', 'Spend_group=40-60'})",0.15427857589006871,0.25733916302311055,0.12429731417863835,0.8056680161943319,3.1307633347745765,1.0,0.08459539458669062,3.821608890276909,0.8047438076646154,0.4326086956521739,0.7383301042280281,0.644338862466098
"frozenset({'Subscription_group=37m+', 'Tickets_group=1-2'})","frozenset({'Churned=1', 'Spend_group=40-60'})",0.15178013741411617,0.25733916302311055,0.11242973141786383,0.7407407407407408,2.878460985257102,1.0,0.07337075789218248,2.8645489426251456,0.7693667157584684,0.37894736842105264,0.6509048998535963,0.5888169723121179
"frozenset({'Activity_group=181-365d', 'Subscription_group=37m+'})","frozenset({'Churned=1', 'Spend_group=40-60'})",0.14366021236727045,0.25733916302311055,0.10056214865708932,0.7000000000000001,2.7201456310679615,1.0,0.06359274984677363,2.475536123256299,0.7384599353964781,0.33471933471933474,0.5960470984020186,0.5453883495145632
frozenset({'Subscription_group=37m+'}),"frozenset({'Churned=1', 'Spend_group=40-60', 'Tickets_group=1-2'})",0.2860712054965647,0.14928169893816365,0.11242973141786383,0.3930131004366812,2.632694451042371,1.0,0.06972453584404811,1.4015431003105074,0.8686594731214152,0.3481624758220503,0.2865007149773323,0.5730755878752444
"frozenset({'Gender=Female', 'Subscription_group=37m+'})","frozenset({'Churned=1', 'Spend_group=40-60'})",0.15552779512804496,0.25733916302311055,0.10493441599000625,0.674698795180723,2.6218271142823726,1.0,0.06491102336492535,2.2829944247808087,0.7325126796280643,0.34077079107505076,0.5619787813997792,0.5412328927359925
frozenset({'Subscription_group=37m+'}),"frozenset({'Gender=Female', 'Churned=1', 'Spend_group=40-60'})",0.2860712054965647,0.14303560274828234,0.10493441599000625,0.3668122270742358,2.564481989283194,1.0,0.06401604868287739,1.3534127377285747,0.8545077698621004,0.32369942196531787,0.2611270958789005,0.5502183406113537
frozenset({'Subscription_group=37m+'}),"frozenset({'Churned=1', 'Spend_group=40-60'})",0.2860712054965647,0.25733916302311055,0.18800749531542785,0.6572052401746724,2.553848518251579,1.0,0.11439017072792963,2.1664883014994603,0.8522335870806845,0.5289982425307557,0.5384235403865858,0.6938938822232585
frozenset({'Subscription_group=37m+'}),"frozenset({'Gender=Male', 'Churned=1', 'Spend_group=40-60'})",0.2860712054965647,0.11430356027482823,0.08307307932542161,0.2903930131004367,2.5405421528622907,1.0,0.05037412204505226,1.2481506750588574,0.8493609351462645,0.2618110236220472,0.19881467840183295,0.5085844846922949
frozenset({'Subscription_group=37m+'}),"frozenset({'Activity_group=181-365d', 'Churned=1', 'Spend_group=40-60'})",0.2860712054965647,0.1405371642723298,0.10056214865708932,0.35152838427947597,2.5013197476952933,1.0,0.060358512656635194,1.325366931862872,0.840715562728572,0.30842911877394635,0.2454919645577333,0.5335419699175158
"frozenset({'Gender=Male', 'Subscription_group=37m+'})","frozenset({'Churned=1', 'Spend_group=40-60'})",0.13054341036851969,0.25733916302311055,0.08307307932542161,0.6363636363636364,2.4728596646072374,1.0,0.04947914736300431,2.0423173016864458,0.6850369458128078,0.2725409836065574,0.5103601192751739,0.4795895851721095
frozenset({'Subscription_group=37m+'}),"frozenset({'Discount_group=11-20', 'Churned=1', 'Spend_group=40-60'})",0.2860712054965647,0.18425983760149905,0.12429731417863835,0.4344978165938864,2.358071201243431,1.0,0.07158588031137628,1.4425057698012103,0.8066975296429654,0.35920577617328514,0.30676187164380714,0.5545370438901636
"frozenset({'Activity_group=181-365d', 'Spend_group=40-60'})","frozenset({'Churned=1', 'Subscription_group=37m+'})",0.18238600874453467,0.24422236102435976,0.10056214865708932,0.5513698630136986,2.2576551168412573,1.0,0.05601940698368953,1.684634126571656,0.6813270762850595,0.30842911877394635,0.4063992980867202,0.48156728444802577
frozenset({'Spend_group=40-60'}),"frozenset({'Discount_group=11-20', 'Churned=1', 'Subscription_group=37m+'})",0.3935040599625234,0.13991255465334165,0.12429731417863835,0.31587301587301586,2.2576459750566893,1.0,0.06924115588281995,1.2572043864695934,0.9184904957330422,0.3038167938931297,0.20458438519440697,0.6021329365079365
